ZC3H12C	110093361	110171841	11
NAP1L5	88695915	88698235	4
PON3	95359944	95396368	7
PON1	95297676	95324707	7
ADAMTS16	5140330	5320304	5
NDN	23685400	23687330	15
NLRP2	54970903	55006759	CHR_HSCHR19LRC_LRC_I_CTG3_1
ASCL2	2268495	2270952	11
GDAP1L1	44247099	44280917	20
HOXA2	27100354	27102811	7
H19	1995163	2001470	11
GFI1	92474762	92486876	1
MEG8	100894770	101027415	14
DNMT1	10133345	10231286	19
VTRNA2-1	136080471	136080597	5
ZDBF2	206274663	206314428	2
IMPACT	24426616	24453535	18
HSPA6	161524540	161526910	1
SFMBT2	7158624	7411486	10
BTNL2	32470120	32483292	CHR_HSCHR6_MHC_MCF_CTG1
TMEM52	1917590	1919273	1
HOXA5	27141052	27143668	7
DCN	91140484	91183123	12
DLGAP2	1501879	1707457	CHR_HSCHR8_5_CTG1
NLRP2	54953130	55001142	19
SGK2	43558968	43588237	20
GABRA5	26866363	26949207	15
FERMT2	52857268	52952435	14
RTL1	100880655	100884847	14
COMMD1	61888724	62147247	2
MZF1	58561931	58573575	19
GLIS3	3824127	4348392	9
ZNF264	57191500	57222846	19
NKX6-2	132783179	132786052	10
DIRAS3	68045962	68051631	1
HOXA3	27106184	27152581	7
INPP5F	119726097	119829278	10
PRIM2	57314805	57646849	6
LY6D	142784880	142786592	8
DLGAP2	1627028	1708042	CHR_HSCHR8_7_CTG1
GRB10	50590063	50793462	7
CHST8	33621955	33773509	19
ASB4	95478444	95540232	7
ZNF597	3432422	3443542	16
ZIM3	57134096	57145202	19
SNRPN	24823637	24978723	15
MEG3	100779410	100861031	14
TP53	7661779	7687550	17
HOXB2	48540894	48544989	17
MAGI2	78017057	79453574	7
E2F7	77021247	77065580	12
PHPT1	136848724	136851027	9
PAOX	133379234	133391694	10
RB1	48303751	48481986	13
UBE3A	25333728	25439056	15
NPAP1	24675868	24683393	15
MKRN3	23565678	23630075	15
VENTX	133237404	133241929	10
LILRB4	54594151	54602395	CHR_HSCHR19LRC_COX1_CTG3_1
BMP8B	39757182	39788861	1
SLC22A18AS	2887804	2903769	CHR_HSCHR11_1_CTG7
CALCR	93424487	93574730	7
BTNL2	32351409	32364583	CHR_HSCHR6_MHC_QBL_CTG1
NAP1L4	2943292	2991260	CHR_HSCHR11_1_CTG7
KCNQ1DN	2870047	2872091	CHR_HSCHR11_1_CTG7
BTNL2	32342174	32355327	CHR_HSCHR6_MHC_COX_CTG1
LILRB4	54643889	54670359	19
PEG3	56810083	56840728	19
ZIM2	56774552	56840729	19
OBSCN	228208130	228378874	1
MEST	130486171	130506296	7
HES1	194136145	194138732	3
WT1-AS	32435518	32458769	11
CCDC85A	56184123	56386173	2
SOX8	981808	986979	16
TSIX	73792205	73829231	X
CDK4	57747727	57756013	12
IFITM1	313506	315272	11
DVL1	1335276	1349350	1
TMEM60	77793728	77798580	7
NTM	131370478	132336822	11
OR11L1	247840928	247841896	1
DDC	50458436	50565457	7
ISM1	13221771	13300651	20
MIMT1	56840902	56848556	19
WT1	32387775	32435630	11
XIST	73820651	73852753	X
NAA60	3443611	3486963	16
HIST3H2BB	228458107	228460470	1
NLRP2	54961245	55009257	CHR_HSCHR19_4_CTG3_1
MESTIT1	130486042	130491033	7
HTR2A	46831550	46897076	13
PYY2	28226563	28228065	17
C10orf91	132444327	132449408	10
PON2	95404863	95435329	7
APBA1	69435727	69484339	CHR_HSCHR9_1_CTG2
SLC4A2	151057210	151076527	7
KCNQ1	2444684	2849109	11
MAGEL2	23643544	23647841	15
PHLDA2	2928201	2929383	CHR_HSCHR11_1_CTG7
PRDM16	3069168	3438621	1
HOXC9	53994895	54003337	12
HOXC4	54016931	54056030	12
GAB1	143336762	143474568	4
ABCG8	43838964	43878466	2
BTNL2	32369461	32382615	CHR_HSCHR6_MHC_DBB_CTG1
ACD	67657512	67660815	16
COPG2	130506238	130668748	7
ABCC9	21797401	21942529	12
ALDH1L1	126103562	126197994	3
TIGD1	232547968	232550592	2
DLGAP2	1487682	1552210	CHR_HSCHR8_1_CTG1
PPP1R9A	94907202	95296415	7
DLGAP2	737651	824587	CHR_HSCHR8_4_CTG1
NAP1L4	2944431	2992377	11
PHLDA2	2928273	2929455	11
MRAP2	84033756	84090881	6
TFPI2	93885397	93890991	7
LILRB4	54414251	54422496	CHR_HSCHR19LRC_PGF2_CTG3_1
TRPM5	2404515	2423045	11
TSHZ3	31274945	31349547	19
GATM	45361124	45402327	15
SNURF	24954986	24977850	15
DGCR6	18906028	18914238	22
PEG10	94656325	94669695	7
C9orf85	71911510	71986054	9
LILRB4	54671018	54678557	CHR_HSCHR19_4_CTG3_1
RBP5	7123684	7128942	12
FASTK	151076593	151080866	7
CDKN1C	2883213	2885881	11
AMPD3	10308313	10507579	11
FOXF1	86510527	86515418	16
GPT	144502973	144507174	8
KCNQ1OT1	2608328	2699994	11
FOXG1	28760330	28770277	14
COL9A3	62816244	62841159	20
TP73	3652520	3736201	1
SGCE	94585230	94656209	7
CPA4	130293134	130324180	7
DGCR6L	20314276	20320080	22
CYP1B1	38066973	38109902	2
SLC22A18	2899721	2925246	11
SLC22A18AS	2887780	2903740	11
CDKN1C	2883205	2885904	CHR_HSCHR11_1_CTG7
KCNQ1DN	2870033	2872105	11
KCNQ1	2768844	2849088	CHR_HSCHR11_1_CTG7
BLCAP	37492472	37527931	20
NNAT	37521215	37523693	20
HOXA11	27181510	27185223	7
GLI3	41960950	42237870	7
EVX1	27242700	27250493	7
CD81	2376177	2397419	11
SIM2	36699133	36749917	21
B4GALNT4	369796	382116	11
PKP3	392614	404908	11
KCNK9	139600838	139703056	8
DLGAP2	737596	1708474	8
ZFP36L2	43222402	43226609	2
SLC38A4	46764761	46832408	12
PEG13	140094894	140100560	8
TSSC4	2400488	2403878	11
PURG	30995802	31033715	8
FUCA1	23845077	23868294	1
SALL1	51135975	51151367	16
MIR184	79209788	79209871	15
NLRP2	54703078	54738934	CHR_HSCHR19LRC_PGF2_CTG3_1
MIR371A	53787675	53787741	19
NLRP2	54894315	54930171	CHR_HSCHR19LRC_COX1_CTG3_1
SNORD108	24986925	24986995	15
RNU5D-1	44731055	44731170	1
BTNL2	32402558	32414973	CHR_HSCHR6_8_CTG1
GPR1	206175316	206218047	CHR_HSCHR2_6_CTG7_2
ZDBF2	206279283	206319048	CHR_HSCHR2_6_CTG7_2
